"","brand","product","name","specific","lightness","hex","lightToDark","numbers","id"
"1739","ColourPop","Pretty Fresh Foundation","Medium","80W",0.703921568627451,"#D7B490",TRUE,80,65
"1740","ZOEVA","Authentik Skin Natural Luminous Foundation","Brilliant","080W",0.749019607843137,"#E7BA97",TRUE,80,78
"1741","Catrice","HD Liquid Coverage Foundation","Caramel Beige","080",0.437254901960784,"#996846",TRUE,80,59
"1742","Essence","Pretty Natural Hydrating Foundation","Cool Chai","80",0.6,"#C8956A",TRUE,80,79
"1743","Dior","Diorskin Forever Undercover Foundation","Ebony","080",0.36078431372549,"#814D37",TRUE,80,73
"1744","Bite Beauty","Changemaker Supercharged Micellar Foundation",NA,"M80",0.709803921568627,"#DCA88E",TRUE,80,82
"1745","Josie Maran","Vibrancy Argan Oil Foundation Fluid","Magical","RG80",0.496078431372549,"#9E715F",TRUE,80,74
"1746","Natasha Denona","Face Glow Foundation","DR","80",0.545098039215686,"#9F8977",TRUE,80,84
"1747","Urban Decay Cosmetics","Hydromaniac Glowy Tinted Hydrator Foundation",NA,"81",0.305882352941176,"#6C4530",TRUE,81,76
"1748","KVD Vegan Beauty","True Portrait Medium Coverage Shake Foundation","Deep","082",0.325490196078431,"#6D4A39",TRUE,82,57
"1749","Natasha Denona","Transformatte Pore Vanishing Matte Foundation",NA,"82W",0.670588235294118,"#CDAB89",TRUE,82,67
"1750","Natasha Denona","Foundation X+",NA,"82W",0.658823529411765,"#D0A580",TRUE,82,68
"1751","ColourPop","Pretty Fresh Foundation","Medium","83C",0.745098039215686,"#D9B6A3",TRUE,83,65
"1752","KVD Vegan Beauty","True Portrait Medium Coverage Shake Foundation","Deep","084",0.298039215686275,"#644634",TRUE,84,57
"1753","Marc Jacobs Beauty","Re(marc)able Full Cover Foundation Concentrate","Cocoa Medium","84",0.37843137254902,"#95532C",TRUE,84,87
"1754","Lancôme","Teint Idole Ultra Wear 24H Long Wear Foundation","Ivoire N","085",0.937254901960784,"#F6EFE8",TRUE,85,88
"1755","ColourPop","Pretty Fresh Foundation","Medium","85N",0.717647058823529,"#D4AF9A",TRUE,85,65
"1756","Catrice","HD Liquid Coverage Foundation","Chestnut Beige","085",0.331372549019608,"#784B31",TRUE,85,59
"1757","Natasha Denona","Transformatte Pore Vanishing Matte Foundation",NA,"85WN",0.637254901960784,"#D2A173",TRUE,85,67
"1758","Bite Beauty","Changemaker Supercharged Micellar Foundation",NA,"M85",0.711764705882353,"#D9A692",TRUE,85,82
"1759","Josie Maran","Vibrancy Argan Oil Foundation Fluid","Unstoppable","RG85",0.454901960784314,"#8F6459",TRUE,85,74
"1760","Natasha Denona","Foundation X+","Wdark","85",0.631372549019608,"#CA9B78",TRUE,85,68
"1761","KVD Vegan Beauty","True Portrait Medium Coverage Shake Foundation","Deep","086",0.32156862745098,"#6E4A36",TRUE,86,57
"1762","Natasha Denona","Transformatte Pore Vanishing Matte Foundation",NA,"86Y",0.598039215686274,"#CE9663",TRUE,86,67
"1763","Marc Jacobs Beauty","Re(marc)able Full Cover Foundation Concentrate","Cocoa Deep","86",0.345098039215686,"#7E4832",TRUE,86,87
"1764","Natasha Denona","Foundation X+",NA,"86Y",0.490196078431373,"#B37947",TRUE,86,68
"1765","Natasha Denona","Transformatte Pore Vanishing Matte Foundation",NA,"87W",0.613725490196078,"#C99B70",TRUE,87,67
"1766","Natasha Denona","Foundation X+",NA,"87W",0.550980392156863,"#B38866",TRUE,87,68
"1767","KVD Vegan Beauty","True Portrait Medium Coverage Shake Foundation","Deep","088",0.290196078431373,"#624432",TRUE,88,57
"1768","Natasha Denona","Foundation X+","YDark","88",0.670588235294118,"#D0A786",TRUE,88,68
"1769","Natasha Denona","Transformatte Pore Vanishing Matte Foundation",NA,"89WY",0.627450980392157,"#D19C6F",TRUE,89,67
"1770","KVD Vegan Beauty","True Portrait Medium Coverage Shake Foundation","Deep","090",0.270588235294118,"#5E3C2C",TRUE,90,57
"1771","Urban Decay Cosmetics","Hydromaniac Glowy Tinted Hydrator Foundation",NA,"90",0.258823529411765,"#5C3628",TRUE,90,76
"1772","Clinique","Superbalanced Makeup","Sand","90",0.976470588235294,"#F9F9F9",NA,90,NA
"1773","Clinique","Stay Matte Oil-Free Makeup","Sand","CN 90",0.613725490196078,"#C89B71",NA,90,NA
"1774","Clinique","Beyond Perfecting Foundation + Concealer","Sand","CN 90",0.613725490196078,"#C89B71",NA,90,NA
"1775","Clinique","Even Better Glow Light Reflecting Makeup Broad Spectrum SPF 15","Sand","CN 90",0.617647058823529,"#CC996F",NA,90,NA
"1776","Lancôme","Teint Idole Ultra Wear 24H Long Wear Foundation","Ivoire N","090",0.962745098039216,"#FEF3ED",TRUE,90,88
"1777","Lancôme","Rénergie Lift Makeup Lightweight Liquid Foundation SPF 27","Ivoire N","090",0.898039215686275,"#F1E6D9",TRUE,90,89
"1778","ZOEVA","Authentik Skin Natural Luminous Foundation","Charismatic","090C",0.766666666666667,"#E5BEA2",TRUE,90,78
"1779","Catrice","HD Liquid Coverage Foundation","Espresso Beige","090",0.317647058823529,"#73492F",TRUE,90,59
