"","brand","product","name","specific","lightness","hex","lightToDark","numbers","id"
"1","Makeup Revolution","Conceal & Define Full Coverage Foundation",NA,"F0",0.949019607843137,"#F2F2F2",TRUE,0,1
"2","HOURGLASS","Veil Fluid Makeup","Porcelain","No. 0",0.817647058823529,"#F6D3AB",TRUE,0,2
"3","TOM FORD","Traceless Soft Matte Foundation","Pearl","0.0",0.850980392156863,"#F0D8C2",TRUE,0,3
"4","Armani Beauty","Neo Nude Foundation",NA,"0",0.911764705882353,"#F0E8E1",TRUE,0,4
"5","TOM FORD","Traceless Foundation Stick","Pearl","0.0",0.911764705882353,"#FDE5D4",TRUE,0,5
"6","Charlotte Tilbury","Magic Foundation",NA,"0",0.731372549019608,"#D9AE9C",TRUE,0,6
"7","Bobbi Brown","Skin Weightless Powder Foundation","Porcelain","0",0.82156862745098,"#F3C9B0",TRUE,0,7
"8","Givenchy","Matissime Velvet Radiant Mattifying Fluid Foundation SPF 20",NA,"N00",0.831372549019608,"#F5D8B3",TRUE,0,8
"9","Smashbox","Studio Skin 24 Hour Full Coverage Waterproof Foundation",NA,"0.1",0.813725490196078,"#F8CDA7",TRUE,0.1,9
"10","Smashbox","Studio Skin 24 Hour Oil-Free Hydra Foundation",NA,"0.1",0.909803921568627,"#F9E4D7",TRUE,0.1,10
"11","Makeup Revolution","Conceal & Define Satte Matte Powder Foundation",NA,"P0.1",0.919607843137255,"#F5E9E0",TRUE,0.1,11
"12","Makeup Revolution","Conceal & Define Full Coverage Foundation",NA,"F0.1",0.756862745098039,"#D4C2AE",TRUE,0.1,1
"13","TOM FORD","Traceless Soft Matte Foundation","Cameo","0.1",0.847058823529412,"#EED8C2",TRUE,0.1,3
"14","TOM FORD","Traceless Foundation Stick","Cameo","0.1",0.884313725490196,"#F5E2CE",TRUE,0.1,5
"15","Smashbox","Primer + Foundation Customizable Set","Smashbox","0.1",0.8,"#E9C9AF",TRUE,0.1,12
"16","Smashbox","Studio Skin 24 Hour Full Coverage Waterproof Foundation",NA,"0.2",0.758823529411765,"#F0BE93",TRUE,0.2,9
"17","Makeup Revolution","Conceal & Define Satte Matte Powder Foundation",NA,"P0.2",0.935294117647059,"#F9EFE4",TRUE,0.2,11
"18","Makeup Revolution","Conceal & Define Full Coverage Foundation",NA,"F0.2",0.774509803921569,"#E1CDAA",TRUE,0.2,1
"19","Smashbox","Primer + Foundation Customizable Set","Smashbox","0.2",0.743137254901961,"#E4B697",TRUE,0.2,12
"20","Clinique","Beyond Perfecting Powder Foundation + Concealer","Dune","0.25",0.917647058823529,"#FBEED9",NA,0.25,NA
"21","Ofra Cosmetics","Absolute Cover Foundation",NA,"0.25",0.647058823529412,"#C9AD81",TRUE,0.25,13
"22","Smashbox","Studio Skin 24 Hour Full Coverage Waterproof Foundation",NA,"0.3",0.784313725490196,"#F4C59C",TRUE,0.3,9
"23","Smashbox","Studio Skin 24 Hour Oil-Free Hydra Foundation",NA,"0.3",0.9,"#F5E2D6",TRUE,0.3,10
"24","Makeup Revolution","Conceal & Define Full Coverage Foundation",NA,"F0.3",0.688235294117647,"#CDB392",TRUE,0.3,1
"25","TOM FORD","Traceless Soft Matte Foundation","Ivory Silk","0.3",0.792156862745098,"#E4CCB0",TRUE,0.3,3
"26","TOM FORD","Traceless Foundation Stick","Ivory Silk","0.3",0.77843137254902,"#EEC49F",TRUE,0.3,5
"27","Smashbox","Primer + Foundation Customizable Set","Smashbox","0.3",0.733333333333333,"#DAB49C",TRUE,0.3,12
"28","TOM FORD","Traceless Soft Matte Foundation","Rose","0.4",0.796078431372549,"#E4C7B2",TRUE,0.4,3
"29","TOM FORD","Traceless Foundation Stick","Rose","0.4",0.688235294117647,"#D3A58C",TRUE,0.4,5
"30","Smashbox","Studio Skin 24 Hour Full Coverage Waterproof Foundation",NA,"0.5",0.715686274509804,"#E6AE87",TRUE,0.5,9
"31","bareMinerals","BAREPRO Performance Wear Powder Foundation","Porcelain","0.5",0.843137254901961,"#FCC8B2",TRUE,0.5,14
"32","Clinique","Beyond Perfecting Powder Foundation + Concealer","Breeze","0.5",0.833333333333333,"#F7C9B2",NA,0.5,NA
"33","Makeup Revolution","Conceal & Define Full Coverage Foundation",NA,"F0.5",0.827450980392157,"#ECC7BA",TRUE,0.5,1
"34","Clinique","Beyond Perfecting Foundation + Concealer","Shell","CN 0.5",0.92156862745098,"#F7EADF",NA,0.5,NA
"35","Urban Decay Cosmetics","All Nighter Liquid Full Coverage Foundation",NA,"0.5",0.764705882352941,"#DDC1A9",TRUE,0.5,15
"36","bareMinerals","BAREPRO Performance Wear Liquid Foundation Broad Spectrum SPF 20","Porcelain","0.5",0.843137254901961,"#FCC8B2",TRUE,0.5,16
"37","bareMinerals","BAREPRO Longwear Powder Foundation ","Porcelain","0.5",0.872549019607843,"#FCD3C1",TRUE,0.5,17
"38","bareMinerals","BarePRO™ 24 hour Longwear Liquid Foundation with Mineral SPF 20 ","Porcelain","0.5",0.882352941176471,"#FDD8C5",TRUE,0.5,18
"39","TOM FORD","Traceless Soft Matte Foundation","Porcelain","0.5",0.794117647058823,"#E2CCB3",TRUE,0.5,3
"40","TOM FORD","Traceless Foundation Stick","Porcelain","0.5",0.864705882352941,"#F8D5C1",TRUE,0.5,5
"41","Smashbox","Primer + Foundation Customizable Set","Smashbox","0.5",0.719607843137255,"#D2AB9D",TRUE,0.5,12
"42","Makeup Revolution","Conceal & Define Full Coverage Foundation",NA,"F0.7",0.715686274509804,"#D2B89B",TRUE,0.7,1
"43","Clinique","Beyond Perfecting Foundation + Concealer","Custard","CN 0.75",0.903921568627451,"#F5E5D8",NA,0.75,NA
"44","Benefit Cosmetics","Hello Happy Air Stick Foundation SPF 20",NA,"Shade 1",0.825490196078431,"#F0D2B5",TRUE,1,19
"45","Benefit Cosmetics","Hello Happy Flawless Brightening Foundation SPF 15","Fair Cool","Shade 1",0.817647058823529,"#EACFB7",TRUE,1,20
"46","Benefit Cosmetics","Hello Happy Velvet Powder Foundation","Fair Cool","Shade 1",0.803921568627451,"#E3CFB7",TRUE,1,21
"47","NUDESTIX","Tinted Cover Foundation","Nude","1",0.898039215686275,"#F3DFD7",TRUE,1,22
"48","Smashbox","Studio Skin 24 Hour Full Coverage Waterproof Foundation",NA,"1.0",0.701960784313725,"#E5AC81",TRUE,1,9
"49","Smashbox","Studio Skin 24 Hour Oil-Free Hydra Foundation",NA,"1.0",0.82156862745098,"#F1C6B2",TRUE,1,10
"50","bareMinerals","Matte Foundation Broad Spectrum SPF 15","Fair","01",0.901960784313726,"#FDE3CF",TRUE,1,23
"51","Makeup Revolution","Fast Base Stick Foundation",NA,"F1",0.73921568627451,"#D8BDA1",TRUE,1,24
"52","Makeup Revolution","Conceal & Define Satte Matte Powder Foundation",NA,"P1",0.907843137254902,"#F4E7DB",TRUE,1,11
"53","bareMinerals","ORIGINAL Foundation Broad Spectrum SPF 15","Fair","01",0.901960784313726,"#FDE3CF",TRUE,1,25
"54","bareMinerals","BAREPRO Performance Wear Powder Foundation","Fair","01",0.837254901960784,"#FBCDB0",TRUE,1,14
"55","Clinique","Almost Powder Makeup","Fair","01",0.950980392156863,"#F4F3F1",NA,1,NA
"56","bareMinerals","Complexion Rescue Hydrating Foundation Stick Broad Spectrum SPF 25","Opal","01",0.801960784313726,"#F3C1A6",TRUE,1,26
"57","Makeup Revolution","Conceal & Hydrate Foundation",NA,"F1",0.809803921568627,"#E6CBB7",TRUE,1,27
"58","Makeup Revolution","Conceal & Define Full Coverage Foundation",NA,"F1",0.835294117647059,"#F3D4B7",TRUE,1,1
"59","Makeup Revolution","Conceal & Glow Foundation",NA,"F1",0.815686274509804,"#EDCCB3",TRUE,1,28
"60","Pacifica","Alight Clean Foundation","Cool Deep","01CD",0.313725490196078,"#7C4024",FALSE,1,29
"61","jane iredale","Beyond Matte Liquid Foundation",NA,"M1",0.817647058823529,"#FCCDA5",TRUE,1,30
"62","Clinique","Beyond Perfecting Foundation + Concealer","Flax","WN 01",0.896078431372549,"#EFE3DA",NA,1,NA
"63","Urban Decay Cosmetics","All Nighter Liquid Full Coverage Foundation",NA,"1.0",0.743137254901961,"#DEC09D",TRUE,1,15
"64","bareMinerals","BAREPRO Performance Wear Liquid Foundation Broad Spectrum SPF 20","Fair","01",0.837254901960784,"#FBCDB0",TRUE,1,16
"65","Physicians Formula","The Healthy Foundation SPF 20",NA,"DpC1",0.376470588235294,"#92572E",TRUE,1,31
"66","bareMinerals","ORIGINAL Liquid Mineral Foundation Broad Spectrum SPF 20","Fair","01",0.831372549019608,"#FBCDAD",TRUE,1,32
"67","LORAC","PRO Soft Focus Longwear Foundation",NA,"01",0.8,"#E8CDB0",TRUE,1,33
"68","HOURGLASS","Veil Fluid Makeup","Ivory","No. 1",0.758823529411765,"#E8B89B",TRUE,1,2
"69","ILIA","Super Serum Skin Tint SPF 40 Foundation","Rendevous","1",0.907843137254902,"#FEE4D1",TRUE,1,34
"70","beautyblender","Bounce™ Liquid Whip Long Wear Foundation","Cool","1.00",0.943137254901961,"#FCF0E5",TRUE,1,35
"71","bareMinerals","COMPLEXION RESCUE™ Tinted Moisturizer with Hyaluronic Acid and Mineral SPF 30","Opal","01",0.847058823529412,"#ECD0C4",TRUE,1,36
"72","bareMinerals","BAREPRO Longwear Powder Foundation ","Fair","01",0.866666666666667,"#F6D8C4",TRUE,1,17
"73","PAT McGRATH LABS","Sublime Perfection Foundation","Light","1",0.923529411764706,"#FCE7DB",TRUE,1,37
"74","bareMinerals","BarePRO™ 24 hour Longwear Liquid Foundation with Mineral SPF 20 ","Fair","01",0.870588235294118,"#F1DFCB",TRUE,1,18
"75","bareMinerals","Matte Loose Powder Mineral Foundation SPF 15 ","Fair","01",0.707843137254902,"#CEB29B",TRUE,1,38
"76","SEPHORA COLLECTION","Make No Mistake Foundation & Concealer Stick","Driftwood","1",0.794117647058823,"#E8C6AD",TRUE,1,39
"77","Laura Mercier","Smooth Finish Foundation Powder",NA,"1",0.792156862745098,"#FCCD98",TRUE,1,40
"78","Kosas","Tinted Face Oil Foundation","Tone","01",0.868627450980392,"#F1DECA",TRUE,1,41
"79","Armani Beauty","Power Fabric Longwear High Cover Foundation SPF 25",NA,"1",0.754901960784314,"#E3B39E",TRUE,1,42
"80","Charlotte Tilbury","Light Wonder Foundation","Fair","1",0.856862745098039,"#EBD8CA",TRUE,1,43
"81","Lancôme","SKIN FEELS GOOD Skin Nourishing Foundation",NA,"01N",0.713725490196078,"#D6AB96",TRUE,1,44
"82","bareMinerals","COMPLEXION RESCUE™ Hydrating Foundation Stick with Mineral SPF 25 ","Opal","01",0.82156862745098,"#F0C8B3",TRUE,1,45
"83","Charlotte Tilbury","Magic Foundation",NA,"1",0.786274509803922,"#E1C6B0",TRUE,1,6
"84","SEPHORA COLLECTION","Matte Perfection Tinted Moisturizer","Lace Sephora Quality Way-Nice Price","1",0.886274509803922,"#EFDED5",TRUE,1,46
"85","La Mer","The Luminous Lifting Cushion Foundation SPF 20 + Refill","Pink Porcelain","01",0.805882352941176,"#F0C4AB",TRUE,1,47
"86","Bobbi Brown","Skin Weightless Powder Foundation","Warm Ivory","1",0.829411764705882,"#F2CEB5",TRUE,1,7
"87","KEVYN AUCOIN","Foundation Balm","Light EF","01",0.835294117647059,"#F7D1B3",TRUE,1,48
"88","NUDESTIX","Nudies Tinted Blur Stick","Light","1",0.790196078431373,"#E6BEAD",TRUE,1,49
"89","Smashbox","Primer + Foundation Customizable Set","Smashbox","1",0.719607843137255,"#D4A69B",TRUE,1,12
"90","Givenchy","Matissime Velvet Radiant Mattifying Fluid Foundation SPF 20",NA,"N01",0.77843137254902,"#E0C3AD",TRUE,1,8
"91","SEPHORA COLLECTION","Clean Glowing Skin Foundation",NA,"1",0.798039215686275,"#ECCCAB",TRUE,1,50
"92","Armani Beauty","Crema Nuda Supreme Glow Reviving Tinted Moisturizer","Nude Glow","1",0.658823529411765,"#CC9484",TRUE,1,51
"93","KEVYN AUCOIN","The Etherealist Foundation","Light EF","01",0.743137254901961,"#D6B4A5",TRUE,1,52
"94","surratt beauty","Surreal Skin Foundation Wand","Surreal Skin","1",0.817647058823529,"#F5CFAC",TRUE,1,53
"95","bareMinerals","I AM AN ORIGINAL GET STARTED® KIT Original Loose Mineral Foundation Customizable Set","bareMinerals","01",0.707843137254902,"#CEB29B",TRUE,1,54
"96","KEVYN AUCOIN","Stripped Nude Skin Tint","ST","01",0.876470588235294,"#FCDBC3",TRUE,1,55
"97","Benefit Cosmetics","Mini Hello Happy Flawless Brightening Foundation SPF 15",NA,"1",0.874509803921569,"#FAD4C4",TRUE,1,56
"98","Smashbox","Studio Skin 24 Hour Full Coverage Waterproof Foundation",NA,"1.05",0.688235294117647,"#DFAE80",TRUE,1.05,9
"99","Smashbox","Studio Skin 24 Hour Oil-Free Hydra Foundation",NA,"1.05",0.819607843137255,"#F1D1B1",TRUE,1.05,10
"100","Smashbox","Primer + Foundation Customizable Set","Smashbox","1.05",0.717647058823529,"#DAB694",TRUE,1.05,12
"101","Smashbox","Studio Skin 24 Hour Full Coverage Waterproof Foundation",NA,"1.1",0.645098039215686,"#D1A378",TRUE,1.1,9
"102","Smashbox","Studio Skin 24 Hour Oil-Free Hydra Foundation",NA,"1.1",0.798039215686275,"#F0CBA7",TRUE,1.1,10
"103","beautyblender","Bounce™ Liquid Whip Long Wear Foundation","Neutral","1.10",0.917647058823529,"#FCEDD8",TRUE,1.1,35
"104","TOM FORD","Traceless Soft Matte Foundation","Warm Sand","1.1",0.794117647058823,"#E2D0B3",TRUE,1.1,3
"105","TOM FORD","Traceless Foundation Stick","Warm Sand","1.1",0.66078431372549,"#D3AA7E",TRUE,1.1,5
"106","Smashbox","Primer + Foundation Customizable Set","Smashbox","1.1",0.813725490196078,"#E0CDBF",TRUE,1.1,12
"107","Smashbox","Studio Skin 24 Hour Full Coverage Waterproof Foundation",NA,"1.15",0.690196078431373,"#E3AA7D",TRUE,1.15,9
"108","Smashbox","Studio Skin 24 Hour Oil-Free Hydra Foundation",NA,"1.15",0.8,"#F6C6A2",TRUE,1.15,10
"109","Smashbox","Primer + Foundation Customizable Set","Smashbox","1.15",0.698039215686274,"#D0A594",TRUE,1.15,12
"110","Smashbox","Studio Skin 24 Hour Full Coverage Waterproof Foundation",NA,"1.2",0.680392156862745,"#E0A77B",TRUE,1.2,9
"111","Smashbox","Studio Skin 24 Hour Oil-Free Hydra Foundation",NA,"1.2",0.823529411764706,"#FCD3A8",TRUE,1.2,10
"112","beautyblender","Bounce™ Liquid Whip Long Wear Foundation","Cool","1.20",0.911764705882353,"#FBE6D6",TRUE,1.2,35
"113","Smashbox","Primer + Foundation Customizable Set","Smashbox","1.2",0.729411764705882,"#D5B49F",TRUE,1.2,12
"114","beautyblender","Bounce™ Liquid Whip Long Wear Foundation","Warm","1.30",0.858823529411765,"#F5DBC1",TRUE,1.3,35
"115","TOM FORD","Traceless Soft Matte Foundation","Nude Ivory","1.3",0.784313725490196,"#E2C8AE",TRUE,1.3,3
"116","TOM FORD","Traceless Foundation Stick","Nude Ivory","1.3",0.67843137254902,"#D7A683",TRUE,1.3,5
"117","beautyblender","Bounce™ Liquid Whip Long Wear Foundation","Neutral","1.40",0.805882352941176,"#ECCCAF",TRUE,1.4,35
"118","TOM FORD","Traceless Soft Matte Foundation","Bone","1.4",0.774509803921569,"#E2CCA9",TRUE,1.4,3
"119","TOM FORD","Traceless Foundation Stick","Bone","1.4",0.670588235294118,"#D2A884",TRUE,1.4,5
"120","NUDESTIX","Tinted Cover Foundation","Nude","1.5",0.888235294117647,"#F2DBD3",TRUE,1.5,22
"121","bareMinerals","Complexion Rescue Hydrating Foundation Stick Broad Spectrum SPF 25","Birch","1.5",0.837254901960784,"#FCD0AF",TRUE,1.5,26
"122","Urban Decay Cosmetics","All Nighter Liquid Full Coverage Foundation",NA,"1.5",0.729411764705882,"#DAB69A",TRUE,1.5,15
"123","HOURGLASS","Veil Fluid Makeup","Nude","No. 1.5",0.798039215686275,"#EEC5A9",TRUE,1.5,2
"124","beautyblender","Bounce™ Liquid Whip Long Wear Foundation","Cool","1.50",0.796078431372549,"#F0C3A6",TRUE,1.5,35
"125","bareMinerals","COMPLEXION RESCUE™ Tinted Moisturizer with Hyaluronic Acid and Mineral SPF 30","Birch","1.5",0.837254901960784,"#F5D4B6",TRUE,1.5,36
"126","TOM FORD","Traceless Soft Matte Foundation","Cream","1.5",0.784313725490196,"#E3C9AD",TRUE,1.5,3
"127","Armani Beauty","Neo Nude Foundation",NA,"1.5",0.82156862745098,"#F3CFB0",TRUE,1.5,4
"128","Charlotte Tilbury","Light Wonder Foundation",NA,"1.5",0.817647058823529,"#EAD0B7",TRUE,1.5,43
"129","bareMinerals","COMPLEXION RESCUE™ Hydrating Foundation Stick with Mineral SPF 25 ","Birch","1.5",0.790196078431373,"#F4C99F",TRUE,1.5,45
"130","TOM FORD","Traceless Foundation Stick","Cream","1.5",0.747058823529412,"#EBAE92",TRUE,1.5,5
"131","beautyblender","Bounce™ Liquid Whip Long Wear Foundation","Warm","1.60",0.784313725490196,"#EEC5A2",TRUE,1.6,35
"132","Benefit Cosmetics","Hello Happy Air Stick Foundation SPF 20",NA,"Shade 2",0.782352941176471,"#F1CB9E",TRUE,2,19
"133","Benefit Cosmetics","Hello Happy Flawless Brightening Foundation SPF 15","Light Warm","Shade 2",0.835294117647059,"#F7D3B3",TRUE,2,20
"134","Benefit Cosmetics","Hello Happy Velvet Powder Foundation","Light Neutral","Shade 2",0.819607843137255,"#EDD2B5",TRUE,2,21
"135","KVD Vegan Beauty","True Portrait Medium Coverage Shake Foundation","Light","002",0.927450980392157,"#FEE7DB",TRUE,2,57
"136","NUDESTIX","Tinted Cover Foundation","Nude","2",0.817647058823529,"#E8C5B9",TRUE,2,22
"137","Smashbox","Studio Skin 24 Hour Full Coverage Waterproof Foundation",NA,"2.0",0.66078431372549,"#DEA973",TRUE,2,9
"138","Smashbox","Studio Skin 24 Hour Oil-Free Hydra Foundation",NA,"2",0.815686274509804,"#FCCCA4",TRUE,2,10
"139","Catrice","True Skin Hydrating Foundation","Neutral Ivory","002",0.762745098039216,"#EEBF97",TRUE,2,58
"140","bareMinerals","Matte Foundation Broad Spectrum SPF 15","Fair Ivory","02",0.831372549019608,"#FCCCAC",TRUE,2,23
"141","Makeup Revolution","Fast Base Stick Foundation",NA,"F2",0.750980392156863,"#E0C79F",TRUE,2,24
"142","bareMinerals","ORIGINAL Foundation Broad Spectrum SPF 15","Fair Ivory","02",0.831372549019608,"#FCCCAC",TRUE,2,25
"143","bareMinerals","BAREPRO Performance Wear Powder Foundation","Ivory","2",0.837254901960784,"#FDCFAE",TRUE,2,14
"144","Clinique","Almost Powder Makeup","Neutral Fair","02",0.950980392156863,"#F4F3F1",NA,2,NA
"145","Clinique","Beyond Perfecting Powder Foundation + Concealer","Alabaster","02",0.719607843137255,"#E3B58C",NA,2,NA
"146","bareMinerals","Complexion Rescue Hydrating Foundation Stick Broad Spectrum SPF 25","Vanilla","02",0.747058823529412,"#EEB38F",TRUE,2,26
"147","Makeup Revolution","Conceal & Hydrate Foundation",NA,"F2",0.807843137254902,"#E9CAB3",TRUE,2,27
"148","Makeup Revolution","Conceal & Define Full Coverage Foundation",NA,"F2",0.82156862745098,"#F4D2AF",TRUE,2,1
"149","Makeup Revolution","Conceal & Glow Foundation",NA,"F2",0.825490196078431,"#F1CDB4",TRUE,2,28
"150","Pacifica","Alight Clean Foundation","Neutral Deep","02ND",0.331372549019608,"#834626",FALSE,2,29
"151","jane iredale","Beyond Matte Liquid Foundation",NA,"M2",0.754901960784314,"#F1B990",TRUE,2,30
"152","Clinique","Beyond Perfecting Foundation + Concealer","Breeze","CN 02",0.917647058823529,"#FEEAD6",NA,2,NA
"153","Urban Decay Cosmetics","All Nighter Liquid Full Coverage Foundation",NA,"2.0",0.756862745098039,"#E5BD9D",TRUE,2,15
"154","bareMinerals","BAREPRO Performance Wear Liquid Foundation Broad Spectrum SPF 20","Ivory","2",0.837254901960784,"#FDCFAE",TRUE,2,16
"155","Clinique","Even Better Glow Light Reflecting Makeup Broad Spectrum SPF 15","Breeze","CN 02",0.801960784313726,"#F1C5A8",NA,2,NA
"156","Physicians Formula","The Healthy Foundation SPF 20",NA,"DpW2",0.290196078431373,"#704324",TRUE,2,31
"157","bareMinerals","ORIGINAL Liquid Mineral Foundation Broad Spectrum SPF 20","Fair Ivory","02",0.807843137254902,"#FDCB9F",TRUE,2,32
"158","LORAC","PRO Soft Focus Longwear Foundation",NA,"02",0.707843137254902,"#D6B093",TRUE,2,33
"159","HOURGLASS","Veil Fluid Makeup","Light Beige","No. 2",0.723529411764706,"#E2B08F",TRUE,2,2
"160","Catrice","HD Liquid Coverage Foundation","Porcelain Beige","002",0.758823529411765,"#E6C39D",TRUE,2,59
"161","ILIA","Super Serum Skin Tint SPF 40 Foundation","Tulum","2",0.86078431372549,"#F3D8C4",TRUE,2,34
"162","bareMinerals","COMPLEXION RESCUE™ Tinted Moisturizer with Hyaluronic Acid and Mineral SPF 30","Vanilla","02",0.774509803921569,"#DCBBAF",TRUE,2,36
"163","SEPHORA COLLECTION","Matte Perfection Powder Foundation","Porcelain Neutral","02",0.805882352941176,"#E3C6B8",TRUE,2,60
"164","bareMinerals","BAREPRO Longwear Powder Foundation ","Ivory","02",0.872549019607843,"#FDD9C0",TRUE,2,17
"165","PAT McGRATH LABS","Sublime Perfection Foundation","Light","2",0.884313725490196,"#F6DCCD",TRUE,2,37
"166","bareMinerals","BarePRO™ 24 hour Longwear Liquid Foundation with Mineral SPF 20 ","Ivory","02",0.880392156862745,"#FDDDC4",TRUE,2,18
"167","bareMinerals","Matte Loose Powder Mineral Foundation SPF 15 ","Fair Ivory","02",0.664705882352941,"#D09B83",TRUE,2,38
"168","SEPHORA COLLECTION","Make No Mistake Foundation & Concealer Stick","Birch","2",0.794117647058823,"#E4C3B1",TRUE,2,39
"169","Laura Mercier","Smooth Finish Foundation Powder",NA,"2",0.841176470588235,"#F9D0B4",TRUE,2,40
"170","Kosas","Tinted Face Oil Foundation","Tone","02",0.852941176470588,"#F3D8C0",TRUE,2,41
"171","TOM FORD","Traceless Soft Matte Foundation","Buff","2.0",0.782352941176471,"#E3C7AC",TRUE,2,3
"172","Armani Beauty","Neo Nude Foundation",NA,"2",0.792156862745098,"#ECC5A8",TRUE,2,4
"173","Armani Beauty","Power Fabric Longwear High Cover Foundation SPF 25",NA,"2",0.696078431372549,"#D1AE92",TRUE,2,42
"174","Charlotte Tilbury","Light Wonder Foundation","Fair","2",0.788235294117647,"#E0C5B2",TRUE,2,43
"175","Lancôme","SKIN FEELS GOOD Skin Nourishing Foundation",NA,"02C",0.676470588235294,"#D0A289",TRUE,2,44
"176","bareMinerals","COMPLEXION RESCUE™ Hydrating Foundation Stick with Mineral SPF 25 ","Vanilla","02",0.782352941176471,"#EFC3A0",TRUE,2,45
"177","TOM FORD","Traceless Foundation Stick","Buff","2.0",0.784313725490196,"#F3C29D",TRUE,2,5
"178","Charlotte Tilbury","Magic Foundation",NA,"2",0.782352941176471,"#DEC2B1",TRUE,2,6
"179","SEPHORA COLLECTION","Matte Perfection Tinted Moisturizer","Silk Sephora Quality Way-Nice Price","2",0.870588235294118,"#F5D6C7",TRUE,2,46
"180","Bobbi Brown","Skin Weightless Powder Foundation","Sand","2",0.768627450980392,"#E7C3A1",TRUE,2,7
"181","Armani Beauty","Luminous Silk Compact Powder Foundation",NA,"2",0.8,"#E7C8B1",TRUE,2,61
"182","Armani Beauty","Designer Lift Smoothing Firming Full Coverage Foundation with SPF 20",NA,"2",0.727450980392157,"#E4B98F",TRUE,2,62
"183","KEVYN AUCOIN","Foundation Balm","Light EF","02",0.827450980392157,"#F6D2B0",TRUE,2,48
"184","NUDESTIX","Nudies Tinted Blur Stick","Light","2",0.747058823529412,"#E1B19C",TRUE,2,49
"185","Koh Gen Do","Aqua Foundation",NA,"2",0.807843137254902,"#EBC7B1",TRUE,2,63
"186","Smashbox","Primer + Foundation Customizable Set","Smashbox","2",0.733333333333333,"#E7B48F",TRUE,2,12
"187","Givenchy","Matissime Velvet Radiant Mattifying Fluid Foundation SPF 20",NA,"N02",0.811764705882353,"#E8C1B6",TRUE,2,8
"188","Armani Beauty","Crema Nuda Supreme Glow Reviving Tinted Moisturizer","Light Glow","2",0.633333333333333,"#C88C7B",TRUE,2,51
"189","KEVYN AUCOIN","The Etherealist Foundation","Light EF","02",0.719607843137255,"#D2B49D",TRUE,2,52
"190","surratt beauty","Surreal Skin Foundation Wand","Surreal Skin","2",0.790196078431373,"#F2C3A1",TRUE,2,53
"191","bareMinerals","I AM AN ORIGINAL GET STARTED® KIT Original Loose Mineral Foundation Customizable Set","bareMinerals","02",0.801960784313726,"#ECCEAD",TRUE,2,54
"192","KEVYN AUCOIN","Stripped Nude Skin Tint","ST","02",0.82156862745098,"#F2D3B1",TRUE,2,55
"193","Armani Beauty","Maestro Fusion Makeup SPF 15 Liquid Foundation",NA,"2",0.7,"#D8B28D",TRUE,2,64
"194","Smashbox","Studio Skin 24 Hour Full Coverage Waterproof Foundation",NA,"2.1",0.670588235294118,"#DDA779",TRUE,2.1,9
"195","Smashbox","Studio Skin 24 Hour Oil-Free Hydra Foundation",NA,"2.1",0.801960784313726,"#FCC69D",TRUE,2.1,10
"196","beautyblender","Bounce™ Liquid Whip Long Wear Foundation","Cool","2.10",0.774509803921569,"#E3C2A8",TRUE,2.1,35
"197","Smashbox","Primer + Foundation Customizable Set","Smashbox","2.1",0.762745098039216,"#DBC0AA",TRUE,2.1,12
"198","Smashbox","Studio Skin 24 Hour Full Coverage Waterproof Foundation",NA,"2.12",0.668627450980392,"#DCA879",TRUE,2.12,9
"199","Smashbox","Studio Skin 24 Hour Oil-Free Hydra Foundation",NA,"2.12",0.790196078431373,"#F8C79B",TRUE,2.12,10
"200","Smashbox","Primer + Foundation Customizable Set","Smashbox","2.12",0.668627450980392,"#D9A27C",TRUE,2.12,12
"201","Smashbox","Studio Skin 24 Hour Full Coverage Waterproof Foundation",NA,"2.15",0.647058823529412,"#D59E75",TRUE,2.15,9
"202","Smashbox","Studio Skin 24 Hour Oil-Free Hydra Foundation",NA,"2.15",0.796078431372549,"#F3C0A3",TRUE,2.15,10
"203","Smashbox","Primer + Foundation Customizable Set","Smashbox","2.15",0.674509803921569,"#C89E90",TRUE,2.15,12
"204","Smashbox","Studio Skin 24 Hour Full Coverage Waterproof Foundation",NA,"2.16",0.631372549019608,"#D39D6F",TRUE,2.16,9
"205","Smashbox","Studio Skin 24 Hour Oil-Free Hydra Foundation",NA,"2.16",0.794117647058823,"#FCC599",TRUE,2.16,10
"206","Smashbox","Primer + Foundation Customizable Set","Smashbox","2.16",0.686274509803922,"#E0A27E",TRUE,2.16,12
"207","Smashbox","Studio Skin 24 Hour Full Coverage Waterproof Foundation",NA,"2.18",0.62156862745098,"#CB9C72",TRUE,2.18,9
"208","Smashbox","Studio Skin 24 Hour Oil-Free Hydra Foundation",NA,"2.18",0.780392156862745,"#F6C298",TRUE,2.18,10
"209","Smashbox","Primer + Foundation Customizable Set","Smashbox","2.18",0.666666666666667,"#D79B7D",TRUE,2.18,12
"210","Smashbox","Studio Skin 24 Hour Full Coverage Waterproof Foundation",NA,"2.2",0.629411764705882,"#D29E6F",TRUE,2.2,9
"211","Smashbox","Studio Skin 24 Hour Oil-Free Hydra Foundation",NA,"2.2",0.764705882352941,"#F9C28D",TRUE,2.2,10
"212","beautyblender","Bounce™ Liquid Whip Long Wear Foundation","Neutral/Olive","2.20",0.766666666666667,"#ECC49B",TRUE,2.2,35
"213","Smashbox","Primer + Foundation Customizable Set","Smashbox","2.2",0.72156862745098,"#D4B59C",TRUE,2.2,12
